"Time Series 1 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 2","Time Series 2","Time Series 2","Time Series 2","Time Series 2"
11.95,0.06,0.25,0.42,0.39,0.54,0.05,0.05,0.05,0.05,0.05
12,0.06,0.25,0.42,0.39,0.54,0,0.05,0.05,0.05,0.05
12.05,0.06,0.25,0.42,0.39,0.54,0,0.05,0.05,0.05,0.05
12.1,0.06,0.25,0.42,0.39,0.55,0,0.05,0.05,0.05,0.05
12.15,0.06,0.25,0.42,0.39,0.55,0,0.05,0.05,0.05,0.05
12.2,0.06,0.25,0.42,0.39,0.55,0,0.05,0.05,0.05,0.05
12.25,0.06,0.26,0.42,0.39,0.55,0,0.05,0.05,0.05,0.05
12.3,0.06,0.26,0.42,0.39,0.55,0,0.05,0.05,0.05,0.05
12.35,0.06,0.26,0.42,0.39,0.55,0,0.05,0.05,0.05,0.05
12.4,0.06,0.26,0.42,0.39,0.55,0,0.05,0.05,0.05,0.05
12.45,0.06,0.26,0.42,0.39,0.55,0,0.05,0.05,0.05,0.05
12.5,0.06,0.26,0.43,0.39,0.55,0,0.05,0.05,0.05,0.05
12.55,0.06,0.26,0.43,0.39,0.55,0,0.05,0.05,0.05,0.05
12.6,0.06,0.26,0.43,0.39,0.55,0,0.05,0.05,0.05,0.05
12.65,0.05,0.26,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
12.7,0.05,0.26,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
12.75,0.05,0.26,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
12.8,0.05,0.26,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
12.85,0.05,0.27,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
12.9,0.05,0.27,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
12.95,0.05,0.27,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
13,0.05,0.27,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
13.05,0.05,0.27,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
13.1,0.05,0.27,0.43,0.39,0.56,0,0.05,0.05,0.05,0.05
13.15,0.05,0.27,0.43,0.39,0.57,0,0.05,0.05,0.05,0.05
13.2,0.05,0.27,0.44,0.39,0.57,0,0.05,0.05,0.05,0.05
13.25,0.05,0.27,0.44,0.38,0.57,0,0.05,0.05,0.05,0.05
13.3,0.05,0.27,0.44,0.38,0.57,0,0.05,0.05,0.05,0.05
