Time Series 6 = CellDef_1.Attractant (Concentration)
Time Series 7 = CellDef_2.Attractant (Concentration)
Time Series 8 = CellDef_3.Attractant (Concentration)
Time Series 9 = CellDef_4.Attractant (Concentration)
Time Series 10 = CellDef_5.Attractant (Concentration)

Time,Time Series 6,Time Series 7,Time Series 8,Time Series 9,Time Series 10
3.22,0.1843336701,0.3194645405,0.2081954002,0.2417116642,0.2654870510
3.24,0.1843152404,0.3195459127,0.2082467794,0.2416595936,0.2655130148
3.26,0.1842968702,0.3196277142,0.2082982540,0.2416074276,0.2655389071
3.28,0.1842784524,0.3197096586,0.2083497047,0.2415552855,0.2655648232
3.30,0.1842599392,0.3197917461,0.2084013462,0.2415031910,0.2655907631
3.32,0.1842414737,0.3198738575,0.2084528446,0.2414510727,0.2656167984
3.34,0.1842228055,0.3199559450,0.2085045815,0.2413990736,0.2656430244
3.36,0.1842042208,0.3200383425,0.2085563183,0.2413470507,0.2656689644
3.38,0.1841855764,0.3201209784,0.2086079836,0.2412952423,0.2656951427
3.40,0.1841669083,0.3202036381,0.2086598635,0.2412431002,0.2657212734
3.42,0.1841482401,0.3202863932,0.2087116480,0.2411913157,0.2657474518
3.44,0.1841295362,0.3203692675,0.2087635994,0.2411394596,0.2657737732
3.46,0.1841107130,0.3204519272,0.2088153601,0.2410876751,0.2657997370
3.48,0.1840919018,0.3205348730,0.2088672876,0.2410358667,0.2658261538
3.50,0.1840730786,0.3206180811,0.2089193344,0.2409842253,0.2658523083
3.52,0.1840542436,0.3207011223,0.2089712620,0.2409325838,0.2658786297
3.54,0.1840353131,0.3207844496,0.2090232849,0.2408809662,0.2659048080
3.56,0.1840164542,0.3208677053,0.2090753794,0.2408295155,0.2659311056
3.58,0.1839975357,0.3209510088,0.2091273785,0.2407779694,0.2659573793
3.60,0.1839785695,0.3210344315,0.2091794968,0.2407265663,0.2659838915
3.62,0.1839595914,0.3211179018,0.2092315912,0.2406753302,0.2660101652
3.64,0.1839405656,0.3212014437,0.2092836142,0.2406240225,0.2660364151
3.66,0.1839215636,0.3212852478,0.2093357563,0.2405729055,0.2660627604
3.68,0.1839023948,0.3213690042,0.2093878269,0.2405218124,0.2660891533
3.70,0.1838833451,0.3214525461,0.2094398499,0.2404707432,0.2661154985
3.72,0.1838642597,0.3215362787,0.2094920397,0.2404198408,0.2661418915
3.74,0.1838450670,0.3216200352,0.2095440626,0.2403689384,0.2661683083
3.76,0.1838259459,0.3217039347,0.2095962524,0.2403181076,0.2661946774
3.78,0.1838066816,0.3217878819,0.2096482754,0.2402674437,0.2662210464
3.80,0.1837875247,0.3218718529,0.2097004890,0.2402168274,0.2662474871
3.82,0.1837683201,0.3219557762,0.2097524405,0.2401662588,0.2662739277
3.84,0.1837490678,0.3220397711,0.2098045349,0.2401158333,0.2663001776
3.86,0.1837298512,0.3221239805,0.2098567247,0.2400655031,0.2663267136
3.88,0.1837104917,0.3222079754,0.2099088192,0.2400152683,0.2663531780
3.90,0.1836912394,0.3222920179,0.2099608421,0.2399648428,0.2663795948
3.92,0.1836719394,0.3223762274,0.2100128651,0.2399147272,0.2664058447
3.94,0.1836524963,0.3224602222,0.2100649595,0.2398648739,0.2664323330
3.96,0.1836331844,0.3225445747,0.2101169348,0.2398148298,0.2664586544
3.98,0.1836138487,0.3226287365,0.2101691008,0.2397650242,0.2664850712
4.00,0.1835943460,0.3227131605,0.2102211475,0.2397152901,0.2665116310
4.02,0.1835749626,0.3227972031,0.2102730274,0.2396657228,0.2665379524
4.04,0.1835555196,0.3228815556,0.2103250027,0.2396161318,0.2665643215
4.06,0.1835360050,0.3229657888,0.2103770256,0.2395694733,0.2665907383
4.08,0.1835165501,0.3230499744,0.2104289532,0.2395258665,0.2666171789
4.10,0.1834971070,0.3231344223,0.2104806662,0.2394850492,0.2666436434
4.12,0.1834775925,0.3232187748,0.2105326176,0.2394466400,0.2666699409
4.14,0.1834580183,0.3233031273,0.2105845213,0.2394104958,0.2666962385
4.16,0.1834384203,0.3233874798,0.2106363297,0.2393766403,0.2667226076
4.18,0.1834188819,0.3234718084,0.2106882334,0.2393449306,0.2667490244
4.20,0.1833992481,0.3235562563,0.2107399225,0.2393151522,0.2667752028
4.22,0.1833796144,0.3236405849,0.2107917547,0.2392869711,0.2668016195
4.24,0.1833600998,0.3237251282,0.2108435631,0.2392607450,0.2668280363
4.26,0.1833403468,0.3238093376,0.2108952284,0.2392361164,0.2668543816
4.28,0.1833207011,0.3238938570,0.2109469414,0.2392128706,0.2668807983
4.30,0.1833010316,0.3239782095,0.2109984875,0.2391910076,0.2669071198
4.32,0.1832813621,0.3240626574,0.2110501766,0.2391706228,0.2669334888
4.34,0.1832615972,0.3241470337,0.2111017704,0.2391513348,0.2669596672
4.36,0.1832418799,0.3242314816,0.2111534119,0.2391333103,0.2669859886
4.38,0.1832221270,0.3243159294,0.2112049341,0.2391164780,0.2670123339
4.40,0.1832024097,0.3244002104,0.2112563372,0.2391004801,0.2670387030
4.42,0.1831826687,0.3244848251,0.2113078117,0.2390855074,0.2670647860
